player_id,web_name,position,XP,EEO,Price
450,Cunha,MID,4.006337370658299,1.6,81
515,Gibbs-White,MID,4.001296132967167,0.7,75
160,Minteh,MID,3.975342501335889,1.1,55
384,Gakpo,MID,3.9455284897739116,0.3,73
314,Leno,GK,3.939007826561205,0.2,50
299,Ndiaye,MID,3.883719592970129,9.1,63
319,Castagne,DEF,3.86394277891329,0.2,43
354,Ampadu,MID,3.853255059029002,0.2,49
242,Dewsbury-Hall,MID,3.8520082568412572,16.8,53
706,Justin,DEF,3.807983471410128,1.3,40
30,Havertz,FWD,3.793860294117647,0.1,73
295,Keane,DEF,3.7861283718805163,7.6,45
615,Summerville,MID,3.772093443444881,0.1,54
266,Eze,MID,3.736526989751164,1.8,73
502,Sels,GK,3.728193557289163,0.2,46
287,Pickford,GK,3.7144371954099276,1.4,56
74,Truffert,DEF,3.6995387382650557,0.7,47
791,Taty,FWD,3.692602941176471,0.1,55
624,Bowen,FWD,3.627926470588236,7.9,77
121,Damsgaard,MID,3.460648754889475,0.2,56
730,Brobbey,FWD,3.4469117647058822,0.1,53
723,Canvot,DEF,3.416978796171753,0.5,45
733,Lammens,GK,3.4147349736301376,0.6,51
568,Pedro Porro,DEF,3.32074169138542,1.4,52
303,Garner,MID,3.320741651793658,0.4,52
258,Mitchell,DEF,3.274118611120438,0.1,50
106,Collins,DEF,3.2665710784190995,0.2,49
257,Lacroix,DEF,3.2308502284486345,4.2,52
666,Gyökeres,FWD,3.2251838235294112,34.9,91
508,N.Williams,DEF,3.2215496293508195,0.1,48
443,Shaw,DEF,3.2194525283488136,0.1,45
101,Kelleher,GK,3.1943651960661583,3.1,48
72,Senesi,DEF,3.1907519735591734,5.1,52
318,Bassey,DEF,3.189412238325911,0.3,44
683,Alderete,DEF,3.1806445402274397,0.4,41
660,Stach,MID,3.131704891419163,1.0,48
256,Muñoz,DEF,3.0989922712154505,2.9,59
526,Igor Jesus,FWD,3.0758455882352935,0.2,59
736,Donnarumma,GK,3.0703147397566504,1.2,56
458,Mainoo,MID,3.0542131551722402,0.3,47
260,Guéhi,DEF,3.0513441515213566,6.8,51
107,Lewis-Potter,DEF,2.995397351745105,0.5,48
348,Rodon,DEF,2.993411445255238,0.1,39
662,Mosquera,DEF,2.9854489815628433,0.8,53
311,Beto,FWD,2.9788602941176467,0.6,51
77,Hill,DEF,2.944906385323879,2.5,42
178,Welbeck,FWD,2.6513602941176466,13.2,64
440,Dalot,DEF,2.64123074110644,0.1,45
136,Thiago,FWD,2.5952352941176473,27.4,73
457,Casemiro,MID,2.590700550470261,1.9,59
237,Enzo,MID,2.583310408866545,3.5,64
110,Kayode,DEF,2.579188725477923,0.2,46
628,José Sá,GK,2.5786890984010333,0.1,42
253,Henderson,GK,2.5734787961717522,1.3,51
686,Ngumoha,MID,2.573083269271604,0.1,43
597,Richarlison,FWD,2.5244117647058824,0.8,64
32,Martinez,GK,2.4900273974445883,0.2,51
261,Richards,DEF,2.4848453866834936,0.4,44
17,Ødegaard,MID,2.451307998742288,0.2,78
418,Doku,MID,2.4381371094864344,1.7,65
47,Rogers,MID,2.386374496419971,5.1,73
807,Rayan,MID,2.301945646558807,1.4,54
10,Lewis-Skelly,DEF,2.3017765085604402,2.1,50
113,Van den Berg,DEF,2.275127183962581,0.2,44
82,Semenyo,MID,2.2605201976303047,51.8,81
100,Kroupi.Jr,FWD,2.169705882352941,0.1,46
575,Van de Ven,DEF,2.0553372796207148,0.3,44
90,Scott,MID,2.0474304832029055,0.3,49
67,Petrović,GK,2.046340208853291,0.1,46
224,Cucurella,DEF,2.026440164877946,0.8,61
